id,question,answer
1085,甲板板的作用是什么？其厚度分布特点？,"外板的作用：①保证船体的水密性；②参与船体总纵弯曲；③传递各种横向载荷；       ④保证船体的局部强度和刚性。
厚度分布：⑴ 沿船长方向的变化：①中间厚，两端薄；②平板龙骨的厚度和宽度从首至尾应保持不变，其宽度不必大于1.8米；
⑵沿肋骨围长的变化：①船底板和舷顶列板比其他板厚一些；
②平板龙骨比其他船底板厚2mm；
③舷侧列板的宽度不必大于1.8米；
④在船中0.4L的舷顶列板，其厚度不小于0.8倍强力甲板边板的厚度以及相邻舷侧列板的厚度；
⑶局部加强：①首端锚孔区域；②尾端螺旋桨区域；③外板开口；④冰区航行的船舶，其外板在冰带区部分需做必要的加强。"
1086,舷顶列板与甲板的连接形式有哪几类？各有什么优缺点？,"⑴舷边角钢铆接：优点：①铆钉连接可以重新分布高应力，能减少结构损坏的危险；
②可防止裂缝向舷侧列板继续扩展；缺点：铆接的工作量大，不适应现代化工艺要求。
⑵圆弧舷边连接：优点：①能使甲板和舷侧的应力顺利渡过；②弯曲的圆弧板比平板的刚性大，舷边不易变形；
缺点：①减少了甲板的有效利用面积；②甲板上流下的水会弄脏舷侧列板；③施工比较麻烦。
⑶舷边直接焊接：优点：免除了用铆接及圆弧舷边连接，施工简便；
缺点：要求舷顶列板的上缘应平整，且不能开流水孔，对焊接质量的要求也很高。"
1087,船底结构分为哪几类？各有何优缺点？分别适用于哪些船舶？,"①单底结构只有一层船底板，有船底板和底部骨架组成；结构简单，施工方便；大多用于小型船舶、内河运输船、载重量在600t以下的油船及各种船舶的首尾端。
  ②双层底结构是由船底板内地板以及内外底板之间的船体构件组成；双层底能保证船舶的安全，双层底舱的空间可装载燃油、润滑油和淡水，或用作压载水舱；除油船外，海船从首尖舱舱壁到尾尖舱舱壁采用双层底，小型舰艇和内河船舶仅在机舱等局部区域采用双层底。"
1088,横骨架式单底结构由什么组成，各有什么作用？,横骨架式单底结构由内龙骨和肋板组成。肋板承受船底的局部载荷，并且由给它传递舷侧。内龙骨将肋板联系起来，作为肋板的支点支持肋板，同时将肋板上的一部分载荷传递给横舱壁。
1089,中内龙骨与横舱壁怎么连接？有什么特点？,"①在靠近舱壁的那个肋距内，将中内龙骨的腹板高度加至原来的1.5倍代替肘板，其面板延伸至横舱壁，并与之焊接；
  ②中内龙骨维持原来的高度，另外设置垂直肘板，肘板高度和宽带均等于中内龙骨高度，中内龙骨的面板可不与横舱壁焊接，肘板的厚度应与中内龙骨腹板的厚度相同；
  ③将中内龙骨的面板在一个肋距内逐渐放宽成水平肘板，水平肘板在舱壁处的宽度至少为原来水平面板宽度的2倍，并与舱壁焊接。"
1090,内底边板的结构形式有哪几种？其优缺点是什么？,"⑴下倾式内底边板：优点：内底板与舭列板所形成的沟槽可以作为舭部不污水井；
缺点：抗沉性较差。
⑵上倾式内地边板：优点：①多用于散货船，便于装卸货物；②增加了船底的强度和刚度；缺点：舱容有一定的损失，造价高。
⑶水平式内底边板：优点：舱底平坦，施工方便，且有利于安全；
缺点：内底板上容易积污水，需另设集聚和排除污水的装置。
⑷折曲式内底边板：优点：内底的覆盖面积大，抗沉性好；
缺点：多占货舱的容积，结构较复杂，施工不方便。"
1091,纵骨与横向构件如何连接的？,由于纵骨是沿船长方向设置的构件，每根纵骨都要与肋板相遇，为了使纵骨连续贯通，在肋板上开切口让纵骨通过。
1092,纵骨与水密肋板如何连接？,①纵骨中断，用肘板与水密肋板连接，肘板的长度和宽度等于船底纵骨高度的2.5倍，厚度与肋板相同。②纵骨穿过水密肋板，用衬板封焊起来。
1093,散货船底部结构的特点是什么？,"①散货船的船底一般为纵骨架式双层底结构；
②广泛采用箱型中底桁；
③靠近舷侧没有底边舱，底边舱的内底板向上倾斜，散货能自然地向中央倾注，便于卸货和清理，且有利于改善航行性能；
④在货舱水密横舱壁肋位处的底边舱应尽可能设置水密隔壁，以缓和底边舱内液体的冲荡；⑤底边舱内在肋板位置处应做成环形框架或用减轻孔的板代替环形框架；
⑥底边舱内有设置纵骨和无纵骨两种形式。"
1094,油船船底结构的特点是什么？,"⑴纵骨架单底结构式油船：①老式油船的货油舱底部一般多采用纵骨架单层底结构
②设置纵舱壁将舱室分为多个舱；
③在船长方向设置连续的中内龙骨，货油舱的长度不超过10m；
④在货油舱与非货油舱之间设置隔离空舱；
⑤货油舱内有高腹板的内龙骨和肋板以及高大的肘板。
⑵纵骨架双底结构式油船：①目前的新型油船货油舱底部都采用纵骨架式双层底结构；
②货油舱的内底上不应开设人孔，也不应从机舱出入，进入双层底的出入口应通至露天甲板；
③底部靠舷侧处通常设置成斜底边舱结构；
④底边舱上设有平台，底边舱斜板下需设置旁底桁。"
1095,简述舷侧结构的特点和用途？,"①单壳舷侧结构是由舷侧外板和舷侧构件构成的。结构比较简单，施工方便。大多用于小型船舶、小型的大开口多用途船；载重量5000t以下的油船、车客渡船、散货船及各种船舶的机舱与首尾端结构。
  ②双层壳舷侧结构由舷侧外板、内壳纵向舱壁及它们之间的船体构件组成。既能提高船舶的抗沉性，保证船舶的安全，双层壳的空间又可用作压载舱或空舱。适用于载重量在5000t以上的油船、中大型集装箱船、散货船及多用途船。"
1096,横骨架式舷侧结构骨架形式主要有哪几种？,①单一肋骨的形式②由强肋骨、舷侧纵桁和主肋骨组成的形式；③双层舷侧的结构形式。
1097,舷侧纵桁的作用是什么？舷侧纵横与强肋骨、普通肋骨的连接方式是什么？,"作用：①作为主肋骨的支点，可以减小主肋骨的剖面尺寸；②可将一部分载荷传递给强肋骨及横舱壁。
连接方式：①舷侧纵桁与强肋骨时，舷侧纵桁间断让强肋骨连续，但其面板应与强肋骨面板相焊接；②舷侧纵桁与主肋骨相遇时，腹板上开切口让主肋骨穿过。（无论海船或内河船，机舱内都必须设置舷侧纵桁与强肋骨）"
1098,集装箱船舷侧的结构特点是什么？,"①集装箱船货舱的舷侧都采用双层壳甲板结构，形成舷边舱；
②舷边舱内一般装设两层平台甲板，可作为人员的通道；
③上层甲板与上甲板间的箱型结构称为抗扭箱。"
1099,甲板纵桁遇到横舱壁时与横舱壁的连接情况？, 甲板纵桁遇到横舱壁时，既要保持纵桁的连续性，又要保证舱壁的水密性。其连接方式有两种：①甲板纵桁在舱壁处间断，并加装肘板与舱壁扶强材连接；②甲板纵桁连续并穿过横舱壁，然后加水密补板。
1100,油船的甲板结构特点。,①油船的甲板均为单层板架；②对于船长大于65米的油船，货油舱区域的甲板骨架应为纵骨架式，船长小于65米的油船可全部采用横骨架式；③为了减少自由液面对船舶稳性的影响，可采用高腹板的甲板纵桁。高腹板的甲板纵桁既能增加甲板结构的强度，又能其制荡作用。
1101,散货船的甲板结构特点。,"①为了提高装卸效率，散货船上每个货舱设2个或3个舱口，货舱口的宽度也较大；
②为了防止散货偏向一舷影响船舶的稳定性，故将散货船的舷顶部做成三角形的顶边舱；③顶边舱可装压载水提高船舶的重心，减少摇摆，改善航行性能，还增加了结构的强度。④顶边舱的结构形式有两种：一种是无框架的结构，另外一种是环形框架结构。顶边舱在货舱水密舱壁处应尽可能设置水密隔壁，或者设置制荡舱壁。"
1102,舱壁的种类有哪几种？,"按用途分类：①水密舱壁：就是指在规定的水压力下能保持不透水的舱壁；
②液体舱壁：作为液舱的界壁；
③制荡舱壁：设置在油舱或水舱内带有一定开孔的舱壁；
④轻舱壁：一般用于船舶上层建筑，作为居住、工作等处的隔壁；
⑤防火舱壁：设置有隔热和防火装置的舱壁；
  按结构形式分类：①平面舱壁：由平舱壁板和加强骨架组成，分为垂直和水平的两种；
②槽形舱壁：利用板壁的折曲来代替骨架的作用、根据折曲板的形状，分为梯形、三角形以及矩形等。"
1103,舱壁结构的受力情况？,⑴对于水密横舱壁，承受舱壁平面内的压缩力，包括：①海损破舱时，承受偶然性的舱内横向静水压力；②甲板载荷和舷外力；③船梁弯曲时的横向剪力；④船舶进坞时墩木的反力。⑵对于油密横舱壁，主要承受经常性的舱内液体的静压力，以及船舶摇摆时产生的液体晃荡冲击载荷。⑶对于水密纵舱壁，当船舶破舱时，具有水密作用，承受静水压力。较长的水密纵舱壁还参与总纵弯曲。⑷对于油密纵舱壁，主要承受油货的载荷及其晃荡冲击载荷。
1104,水密横舱壁的设计需满足什么要求？,水密横舱壁的设计需满足船舶抗沉性和强度的要求。
1105,所有船舶都应该设置的水密舱壁有哪些？,所有船舶都应该设置的水密舱壁有：水密防撞舱壁、水密尾尖舱舱壁和机舱的端部水密舱壁。
1106,什么是制荡舱壁？为什么要设置制荡舱壁？设置在哪里？,"⑴制荡舱壁就是指设置在油舱或水舱内带有一定开孔的舱壁；
⑵设置制荡舱壁的作用是在船舶横摇和纵摇时，它能减轻液体的晃动，并减轻液体对周围结构的冲击。⑶设置的部位一般在液舱、艏尖舱、尾尖舱和压载水舱等舱室。"
1107,平面舱壁板的分布规律？其上有哪些构件，它们是如何布置的？,"⑴舱壁板是由许多块钢板并合焊接而成，其板列的布置形式可分为水平和垂直两种。   ①当舱壁板沿水平方向布置时，单块钢板自下而上地排成板列。这种布置的优点是各列舱壁板可取不同的厚度；②对于甲板间舱壁或舱深不大的小船舱壁，其舱壁板可垂直布置，这种布置的优点是重量增加不多，施工方便，各列板的厚度相同。
⑵其上的构件有扶强材和纵桁（水平布置的称为水平桁，竖直方向布置的称为竖桁）；扶强材与纵桁相互垂直布置，若扶强材垂向布置时纵桁就水平布置，若扶强材水平布置时纵桁就垂向布置。"
1108,槽型舱壁的优缺点？常用于那些船舶？在靠近船舶首尾端时，槽型舱壁是否合适？,"⑴槽型舱壁的优点：①在保证同样强度条件下，可以减轻结构的重量，节省钢材；②减少了装配和焊接的工作量；③在散货船和油船上，便于清舱，有利于防止锈蚀。
槽型舱壁的缺点：①它在垂直于槽形方向的承压能力较差；②要保证槽型舱壁的强度就要是槽形体具有一定的深度，占据较大的舱容，对于杂货船很不利，对散货船和油船没有影响。
⑵槽型舱壁多用于散货船和油船，还用于大型军舰等船舶。
⑶在靠近首尾端，由于位置狭窄，型线变化较大，通常不采用槽型舱壁。"
1109,首、尾端的形状有哪些？分别用于何类船舶？,"⑴首端形状
①直立型首：首柱呈直线型，与基线相垂直或接近垂直，首部甲板面积不大。应用于早期的铆接船舶，先已很少采用；
②前倾型首：首柱呈直线前倾或微带曲线前倾，首部不易上浪，首部甲板面积大，外观上有快速感，应用于军舰和民船上；
③飞剪型首：首部在设计水线以上呈凹形曲线，具有较大的甲板悬伸部，甲板面积大有利于锚机和系泊设备的设置，应用于远洋航行的大型客船和一些货船上；
④破冰型首：设计水线以下的首柱呈倾斜状，以便于冲上冰层，应用于破冰船；
⑤球鼻型首：设计水线以下的首部前端有球鼻型的突出体，多用于大型远洋货船上。
⑵尾端形状
①椭圆形尾：船的尾部有短的尾伸部，端部露出水面较大，曾用于货船上；
②巡洋舰型尾：具有光顺曲面的尾伸部，水平剖面呈半卵形，多用于军舰和民船上；
③方型尾：尾部有垂直或斜的尾封板，多用于航速较高的舰艇。"
1110,1.船舶营运中的船舶重力与重心，浮力与浮心如何确定?,
1111,⒉.船舶的静水力性能资料包括哪几类﹖各自包含哪些参数和曲线?查用时应注意哪些问题?,"船舶的静水力性能资料包括:静水力曲线图、载重标尺、静水力参数表三种。
静水力曲线图包括:排水量曲线、型排水体积曲线、浮心距船中距离、浮心距基线高度、水线面面积、浮心距船中距离、厘米吃水吨数、每厘米纵倾力矩曲线等。
载重标尺包括:船舶实际吃水、排水量、厘米吃水吨数、每厘米纵倾力矩、横稳心距基线高度等。静水力参数表包括:排水量、厘米吃水吨数、每厘米纵倾力矩、横稳心距基线高度、浮心距基线高度、浮心距船中距离等查用时应注意:浮心纵向距中距，漂心纵向距中距离这两条曲线查取的横坐标厘米值是从船中起算的。"
1112,船舶处于实际纵横倾或者存在船体变形状况下船舶的排水体积与某吃水下船舶正浮且无船体变形状况下的船舶的排水体积相同时，则该吃水值就为船舶的平均吃水。,跟不同船舶的浮态对应的首尾和船中吃水以及吃水差有关，同时还和漂心距中距离有关。
1113,邦戎曲线与费尔索夫图谱有哪些用途,答:借助邦戎曲线可以计算出船舶在较大纵倾浮态（无横倾）下的型排水体积及其浮心的垂向和纵向位置。费尔索夫图谱是用来计算船舶大纵倾浮态下的型排水体积和浮心纵向坐标。
1114,载重线标志由哪几部分组成?勘划载重线标志的目的是什么﹖如何使用?,答:载重线标志的组成:1、国际航行的船舶的载重线标志:1）甲板线，2）载重线圈及水平横线，3）各载重线，4）冰极标志;目的:用以限制最大船中吃水和确保船舶最小干舷
1115,船舶稳性的分类有哪些?,答: 1、横稳性和纵稳性，2、初稳性和大倾角稳性，3、静稳性和动稳性，4、完整稳性和破舱稳性
1116,船舶有哪几种平衡状态?简述其特点。,"三种，稳定平衡不稳定平衡中性平衡稳定平衡:重心Go点在稳心M点之下，复原力矩M的作用方向与倾侧力矩M的作用方
向相反，当外力消失后，它能使船舶回复到原平衡状态。凡具有这种稳性的船舶相对于其原平衡位置而言是稳定的，所以称是稳定平衡。此时，GM和复原力矩M均为正值。
不稳定平衡:重心G点在稳心M点之上，复原力矩M的作用方向与倾侧力矩M,的作用方向相同，使船舶继续倾斜。凡具有这种稳性的船舶相对于其原平衡位置而言是稳定的，所以称是不稳定平衡。此时，GM和复原力矩M均为负值。中性平衡:重心Go点在稳心M点重合，GM和复原力矩M均为0，外力消失后船舶不会回到平衡位置也不会继续倾斜。"
1117,船舶静稳性和动稳性有哪些主要区别?,按受力性质将船舶稳性分为静稳性和动稳性。静稳性指在静态力矩作用下，不计及倾斜角速度的稳性。静态外力矩是指逐渐作用在船上，引起船舶倾斜的过程缓慢而可以忽略船舶倾斜角速度的倾斜外力矩。动稳性指在动态力作用下，计及倾斜角速度的稳性。
1118,货舱内载荷〈（集装箱除外）的重心高度通常有哪几种确定方法?,利用舱容曲线图或数据表:适用于具备舱容曲线图或数据表资料的船舱内确定固体或液体载荷的合重心高度。对液体载荷，货物上表面平整的散装货或舱内容易归并为分层平铺形式的件杂货，使用这一方法精度较高。3取舱容中心作为重心高度:使用这一方法时，当舱内载荷的均质性越差或满舱率越低时误差将越高。此方法确定的z通常要高于载荷实际高度，即求取的GM小于其实际值，3取舱容中心作为重心高度:使用这一方法时，当舱内载荷的均质性越差或满舱率越低时误差将越高。此方法确定的z通常要高于载荷实际高度，即求取的GM小于其实际值，偏于安全。因方便被船员乐于采用。
1119,静稳性曲线上的主要特征有哪些?,"对于特定的船舶，其静稳性曲线随排水量、载荷的纵向分布和船舶液体舱内存在的自由液面状况而变化，其曲线特征如下:
1)静稳性曲线在原点处的斜率等于初稳性高度GM
2)在横倾角为30°时，对应的复原力臂GZ可以用于表征船舶的大倾角静稳性。
3)静稳性曲线最高点的纵坐标值，表示船舶所能承受的最大静倾力矩，其对应的横倾
角为0sma
4)静稳性曲线的上升段存在一个反曲线点，此点处曲线斜率最大，此点所对应的横倾
角为甲板入水角0 im
5)当复原力臂0时对应的横倾角为稳性消失角0,，当船舶横倾角超过这个角时，船舶
的复原力矩为负值，此时船舶将继续倾斜直到倾覆，可用于表征船舶的大倾角稳性。
6)静稳性曲线下的面积A 。 .o)，曲线下的面积越大，船舶稳性越大。"
1120,采取哪些措施可以减少船上自由液面对船舶稳性的影响。,在计算船舶初稳性高度时，应采取以下措施对自由液面进行修正:1)凡是存在自由液面的液体舱，均应计算装载50%的自由液面影响;2)消耗的液体舱和航行途中加载压载水的压载舱，应该假设每一类液体至少有一对边舱或一个中心线上的舱存在自由液面，且所取得舱组或舱的自由液面应为最大者，3)满载液货舱按装载至98%舱容高度计算О度横倾自由液面的影响，4)液货舱之外的液舱，装满98%以上仓容的液体舱及通常剩余液体的空舱，可不计自由液面的影响。减少自由液面对船舶的稳性的影响还可以在液体舱内加 n道纵隔壁。
1121,船舶在不同装载情况下稳性有哪些检验方法?,"根据船舶的装载情况和船上配备的稳性资料的不同，稳性的校验方法通常包括两个方面:
1)对稳性最低要求的校核;A.当船舶选定的核算装载状态与其《装载手册》的船舶资料中某一基本状况相同，
或者前者的稳性状况比后者好时，可以免除此项校验过程；B．若船舶资料提供有御用重心高度KG曲线图或最小许用初稳性高度GM曲线图时，则所核算的装载情况下，经自由液面修正后的GM或者KG必须满足下列两个条件C;当船舶资料中缺少许用重心高度或者最小许用初稳性高度资料时，则需要根据船舶《稳性报告书》中所提供的资料条件，决定采用何种稳性规则校核。2)，对船舶横摇周期的校核。对于航行中的船舶，在满足其稳性最低要求的前提下，所核算的装载状态下未经自由液面修正的GMO通常还需要同时满足的条件GM小于或等于横摇周期问9S时对应的GM."
1122,船舶在离港状况下满足我国法定稳性衡准要求，在什么情况下仍有发生倾覆沉船的可能?,1.随浪稳性:在船舶遇到波长为0.6到2.3倍船长，特别是接近船长，且波向接近航向、波速接近航速时发生；2船舶在顺浪和偏顺浪下易发生冲浪而发生大幅度横倾；3.参激横摇:由于纵摇或垂荡对横摇的耦合作用或由波浪的周期性干扰，引起船舶的横向复原力矩的周期变化引起的横摇运动
1123,我国《法定规定》对国内航行普通干散货船的稳性要求有哪些?,"1初稳性高度GM不小于0.15；2横倾角等于30度的复原力臂应不小于0.20m,如船体进水角小于30度，则进水角复原力臂应不小于0.20；3船舶最大复原力臂对应的横倾角0.am应不小于25度4稳性衡准数k应不小于1.00"
1124,IMO 《2008年IS规则》对普通干散货船稳性要求有哪些?,1初稳性高度GM应不小于0.15；2复原力臂曲线在横倾角0到30度之间所围面积应不小于0.055m.rad；3复原力臂曲线在横倾角О到40度或进水角中较小者之间所围的面积应不小于0.090m.rad4复原力臂曲线在横倾角30度到40度或进水角中较小者之间所围的面积不应小于0.030m.rad；5横倾角30度处的复原力臂应不小于0.20m6最大复原力臂对应角不小于25度；7满足天气衡准要求
1125,简述临界稳性高度和极限重心高度的定义及其应用。,"临界稳性高度（船舶最小许用初稳性高度）GMc是指恰能同时满足船舶完整稳性全部指标的最低要求时，对船舶初稳性高度的最低限定值。
极限重心高度（船舶许用重心高度〉KGc是指恰能同时满足船舶完整稳性全部指标的最低要求时，对船舶重心高度的最高限定值。
应用:借助此类资料，在校核船舶稳性时，只需计算经自由液面修正后的初稳性高度或重心高度一项直播安，省去了需要回执船舶敬文星或动稳性曲线的麻烦，从而可以大大简化稳性的校核过程。"
1126,船体强度的概念是什么?有哪些分类?,"船体强度是指为了保证船舶安全，船体结构必须具有的抵抗各种内外作用力不使之发生极度变形和破坏的能力。
分类:总强度和局部强度;总强度又分为纵向强度，横向强度和扭转强度"
1127,船体横剖面上的切力和弯矩是如何产生的?分别使船体产生怎样的变形﹖其大小受什么限制?,"①如果船体纵向坐标位x的横剖面一侧载荷分布曲线下的面积代数和不等于零，就意味着该侧所受的重力和浮力总数不相等。为了维持平衡，该侧船体必然收到来自另一侧船体的作用力，这一作用力就是通过横剖面的船体纵向有效构件传递的内力——切力。
②如果纵坐标为x的剖面一侧载荷曲线下的面积对该剖面所取的面积静矩之代数和不等于零，那么即剖面一侧的重力对剖面的力矩不等于该侧浮力对剖面的力矩，同样也需要一个力矩来维持平衡，这一内部力矩就是弯矩。
剪切使船体剪切变形，弯矩使船体弯曲变形。"
1128,船体纵向强度条件的校核方法有哪些?,"1)许用切力和许用弯矩:船舶设计部根据各剖面的实际尺度及其布局和使用材料，据《规范》推算出船舶各个横剖面上正、负两个方向上最大允许的静水切力和静水弯矩，作为该剖面的许用切力和许用弯矩，供船舶装载时校核强度条件之用。
2)计算并校核各横剖面的静水切力和静水弯矩。帆船长不小于90米且装载不均匀，或船长不小于90米且有2道纵舱壁的船舶均应进行静水切力校核。
3）船中静水弯矩估算法。原理:将船体中横剖面允许承受的最大静水弯矩Ms作为校核船舶总纵弯矩的衡准并与船舶该航次实际装载时作用于船体的静水弯矩Ms'作比较。当/Ms'/≤Ms时，总纵强度不受损伤;当/Ms'/>Ms时，总纵强度不满足要求;当Ms'>0时,船舶成中拱状态;当Ms'<0时，船舶成中垂状态。
4）强度曲线图及其数值表"
1129,船体总纵弯曲变形的大小受哪些因素影响﹖实际生产中可采取哪些措施减缓这一变形?,"船体总纵弯曲变形受油水及货物的纵向分布等因素的影响，可通过船体总体布置来分析这种影响。
1)对于肿机船通过以下方式消除影响。货物配置、油水配置及使用、正确使用深舱和冷藏舱。2)舰机船。合理安排压载水、油水分配与使用。3）中后机船。减轻压载状态的中拱变形，同舰机船空船压载状态一致。"
1130,船体局部强度的概念是什么?,"不同情况下,船体局部强度分别用什么指标表示?其含义和所使用的船舶装载状况是什么?
船体结构必须具有抵抗在局部外力作用下产生的局部极度变形或损坏的能力，这种能力就是船体局部强度。
表示指标:1）均布载荷。指船舶不同载货部位单位面积允许承受的最大重量。2）集中载荷。指某一特定面积上允许承受的最大重量。3）车辆甲板载荷。指在舱盖、甲板或舱内装载车辆或使用车辆装卸货时，甲板、舱盖或内底板允许承受的以特定车轮数目为前提的车辆及所载货物的总重量。4）堆积载荷。指集装箱船的甲板、舱盖或舱底上不同的20英尺或40英尺集装箱底座所能承受的最大重量。"
1131,船舶阻力由哪几个部分组成?,其中基本阻力按其产生的原因不同，可分为哪三部分?实际应用中船舶阻力分为基本阻力和附加阻力两部分。基本阻力按阻力产生原因不同可分为摩擦阻力;压差阻力，通常称为剩余阻力，根据其不同特点分为黏性压差阻力（涡流阻力)，兴波压差阻力（兴波阻力)。
1132,什么是船舶的耐波性?船舶摇荡有哪几种形式?有何危害?,"耐波性是船舶在风浪海况下的航行性能。船舶有6个自由度的运动，分别为纵荡，横荡，垂荡，横摇，纵摇，箱摇。
船舶在海上激烈颠簸和摇摆，会使船舶稳性变坏，降低航速，甲板上浪，损坏船体结构。造成货损，引起旅客头晕和影响船员工作等，严重时还会在波浪中谐摇，危及船舶安全。"
1133,船舶的静水力性能资料包括哪几类？各自包含哪些参数和曲线？查用时应注意哪些问题？,"船舶的静水力性能资料包括：静水力曲线图、载重标尺、静水力参数表三种，
静水力曲线图包括：排水量曲线、型排水体积曲线、浮心距船中距离、浮心距基线高度、水线面面积、浮心距船中距离、厘米吃水吨数、每厘米纵倾力矩曲线等。
载重标尺包括：船舶实际吃水、排水量、厘米吃水吨数、每厘米纵倾力矩、横稳心距基线高度等，静水力参数表包括：排水量、厘米吃水吨数、每厘米纵倾力矩、横稳心距基线高度、浮心距基线高度、浮心距船中距离等查用时应注意：浮心纵向距中距，漂心纵向距中距离这两条曲线查取的横坐标厘米值是从船中起算的。"
1134,平均吃水的含义是什么？其大小受哪些因数的影响？,船舶处于实际纵横倾或者存在船体交形状况下船舶的排水体积与某吃水下船舶正浮且无船体变形状況下的船舶的排水体积相同时，则该吃水值就为船舶的平均吃水。跟不同船舶的浮态对应的首尾和船中吃水以及吃水差有关，同时还和漂心距中距离有关。
1135,邦戎曲线与费尔索夫图谱有哪些用途？,借助邦戎曲线可以计算出船舶在较大纵倾浮态（无横倾）下的型排水体积及其浮心的垂向和纵向位置。费尔索夫图谱是用来计算船舶大纵倾浮态下的型排水体积和浮心纵向坐
1136,载重线标志由哪几部分组成？勘划载重线标志的目的是什么？如何使用？,载重线标志的组成：1、国际航行的船舶的载重线标志：1）甲板线，2）载重线圈及水平横线，3） 各载重线，4）冰极标志；目的：用以限制最大船中吃水和确保船舶最小干舷：如何使用：不会
1137,船舶稳性的分类有哪些？,1、横稳性和纵稳性，2、初稳性和大倾角稳性，3、静稳性和动稳性，4、完整稳性和破舱稳性
1138,船舶有哪几种平衡状态？简述其特点。,稳定平衡：重心6点在稳心M点之下，复原力矩 為的作用方向与倾侧力短山的作用方向相反，当外力消失后，它能使船舶回复到原平衡状态。凡具有这种稳性的船舶相对于其原平衡位置而言是稳定的，所以称是稳定平衡。此时，CM 和复原力矩Mi均为正值。不稳定平衡：重心Go点在稳心M 点之上，复原力矩Me的作用方向与倾侧力矩从，的作用方向相同，使船舶继续倾斜。凡具有这种稳性的船舶相对于其原平衡位置而言是稳定的，所以称是不稳定平衡。此时，GM 和复原力矩 M均为负值，中性平衡：重心G点在稳心 M 点重合，GM 和复原力矩火 均为0，外力消失后船舶不会回到平衡位置也不会继续倾斜。
1139,船舶静稳性和动稳性有哪些主要区别？,按受力性质将船舶稳性分为静稳性和动稳性。静稳性指在静态力矩作用下，不计及倾斜角速度的稳性。静态外力矩是指逐渐作用在船上，引起船舶倾斜的过程缓慢而可以忽略船舶倾斜角速度的倾斜外力矩。动稳性指在动态力作用下，计及倾斜角速度的稳性。
1140,货舱内载荷（集装箱除外） 的重心高度通常有哪几种确定方法？,"①估算法：适用于确定货舱内包装或散装固体货物的合重心距基线高度
②利用舱容曲线图或数据表：适用于具各舱容曲线图或数据表资料的船舱内确定固体或液体载荷的合重心高度。对液体载荷，货物上表面平整的散装货或舱内容易归并为分层平铺形式的件杂货，使用这一方法精度较高。
③取舱容中心作为重心高度：使用这一方法时，当舱内载荷的均质性越差或满舱率越低时误差将越高。此方法确定的2;通常要高于载荷实际高度，即求取的 CM 小于其实际值，偏于安全。因方便被船员乐于采用。"
1141,静稳性曲线上的主要特征有哪些？,"1）静稳性曲线在原点处的斜率等于初稳性高度 GM
在横倾角为 30° 时，对应的复原力臂Gz 可以用于表征船舶的大倾角静稳性。
3)静稳性曲线最高点的纵坐标值，表示船舶所能承受的最大静倾力矩，其对应的横倾
角为Oma
4静稳性曲线的上升段存在一个反曲线点，此点处曲线斜率最大，此点所对应的横倾角为甲板入水角0
5) 当复原力臂0时对应的横倾角为稳性消失角6，，当船舶横倾角超过这个角时，船舶的复原力矩为负值，此时船舶将继续倾斜直到倾覆，可用于表征船舶的大倾角稳性。
6) 静稳性曲线下的面积A 01-s02，曲线下的面积越大，船舶稳性越大。"
1142,采取哪些措施可以减少船上自由液面对船舶稳性的影响。,"2)在计算船舶初稳性高度时，应采取以下措施对自由液面进行修正：
1凡是存在自由液面的液体舱，均应计算装载 50%的自由液面影响：
2消耗的液体舱和航行途中加载压载水的压载舱，应该假设每一类液体至少有一对边舱或一个中心线上的舱存在自由液面，且所取得舱组或舱的自由液面应为最大者满载液货舱按装载至 98%舱容高度计算 0度横倾自由液面的影响，
液货舱之外的液舱，装满98%以上仓容的液体舱及通常剩余液体的空舱，可不计自由液面的影响。减少自由液面对船舶的稳性的影响还可以在液体舱内加n道纵隔壁"
1143,船舶在不同装载情况下稳性有哪些检验方法？,根据船舶的装载情况和船上配备的稳性资料的不同，稳性的校验方法通常包括两个方面：对稳性最低要求的校核：当船舶选定的核算装载状态与其 《装载手册》的船舶资料中某一基本状况相同，或者前者的稳性状况比后者好时，可以免除此项校验过程B.若船舶资料提供有御用重心高度 KG 曲线图或最小许用初稳性高度 GM 曲线图时，则所核算的装载情况下，经自由液面修正后的 GM 或者 KG 必须满足下列两个条件GllZ(GMc+C.）或者KG S(RG-C)C;当船舶资料中缺少许用重心高度或者最小许用初稳性高度资料时，则需要根据船舶《稳性报告书》中所提供的资料条件，决定采用何种稳性规则校核。2），对船舶横摇周期的校核对于航行中的船舶，在满足其稳性最低要求的前提下，所核算的装载状态下未经自由液面修正的 GNO 通常还需要同时满足 的条件 GM 小于或等于横摇周期问9S时对应的GM.
1144,船舶在离港状况下满足我国法定稳性衡准要求，在什么情况下仍有发生倾覆沉船的可能？,"1.随浪稳性：在船舶遇到波长为0.6到2.3倍船长，特别是接近船长，且波向接近航向、波速接近航速时发生
2船舶在顺浪和偏顺浪下易发生冲浪而发生大幅度橫倾
3.参激横摇：由于织摇或垂荡对横摇的轉合作用或由波浪的周期性干扰，引起船舶的横向复原力矩的周期变化引起的横摇运动"
1145,我国《法定规定》对国内航行普通干散货船的稳性要求有哪些？,"1初稳性高度 GM 不小于0.15
2横倾角等于30度的复原力臂应不小于0.20m.如船体进水角小手30度，则进水角复原力臂应不小于 0.20了船舶最大复原力臂对应的横倾角0,max
应不小于 25 度4 稳性衡准数k 应不小于 1.00"
